participant_id,age,option,choice,identity,reward_1,reward_2,reward_3,probed_identity,probed_reward,context_rwd,trial_n
22.0,9.06,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22366.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,-1.0,-1.0,22368.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,-1.0,22370.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22371.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22372.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22373.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22374.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22375.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.125,22377.0
22.0,9.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22378.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,22379.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22380.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,22381.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,22382.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,22384.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22385.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.16666666666666666,22387.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,-0.1111111111111111,22389.0
22.0,9.06,1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22390.0
22.0,9.06,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22391.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22392.0
22.0,9.06,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,22396.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,-0.1111111111111111,22398.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22399.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22400.0
22.0,9.06,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,22401.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,22402.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.125,22404.0
22.0,9.06,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22405.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.1111111111111111,22407.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22409.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,22411.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22412.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22413.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,22414.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22415.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,22416.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,22418.0
22.0,9.06,1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22419.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.125,22421.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.16666666666666666,22423.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,22425.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22426.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,22427.0
22.0,9.06,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,22428.0
22.0,9.06,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,22429.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,0.0,22431.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22432.0
22.0,9.06,1.0,1.0,0.0,0.0,1.0,-1.0,-1.0,1.0,0.0,22434.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,22435.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,0.0,22437.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,22439.0
22.0,9.06,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,22440.0
22.0,9.06,1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,22441.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,22443.0
22.0,9.06,1.0,1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,22445.0
