success,trial_type,trial_index,time_elapsed,internal_node_id,rt,stimulus,key_press,subject_id,participant_id,age,gender,prompt,phase,condition,lure_bin
,image,133,154217,0.0-133.0,669.7999992,run_exp/static/images/Set 6_rs/055a.jpg,78,,,,,,learn,SL,
,show_choice,134,155552,0.0-134.0,null,run_exp/static/images/Set 6_rs/055a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,135,156056,0.0-135.0,null,<p></p>,null,,,,,,,,
,image,136,157152,0.0-136.0,1095.7,run_exp/static/images/Set 6_rs/131a.jpg,86,,,,,,learn,SR,
,show_choice,137,158062,0.0-137.0,null,run_exp/static/images/Set 6_rs/131a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,138,158567,0.0-138.0,null,<p></p>,null,,,,,,,,
,image,139,159408,0.0-139.0,839.6999998,run_exp/static/images/Set 6_rs/154a.jpg,86,,,,,,learn,SR,
,show_choice,140,160571,0.0-140.0,null,run_exp/static/images/Set 6_rs/154a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,141,161074,0.0-141.0,null,<p></p>,null,,,,,,,,
,image,142,161937,0.0-142.0,861.8000002,run_exp/static/images/Set 6_rs/066a.jpg,86,,,,,,learn,SL,
,show_choice,143,163080,0.0-143.0,null,run_exp/static/images/Set 6_rs/066a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,144,163586,0.0-144.0,null,<p></p>,null,,,,,,,,
,image,145,164377,0.0-145.0,789.6999998,run_exp/static/images/Set 6_rs/064a.jpg,86,,,,,,learn,SR,
,show_choice,146,165592,0.0-146.0,null,run_exp/static/images/Set 6_rs/064a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,147,166098,0.0-147.0,null,<p></p>,null,,,,,,,,
,image,148,166912,0.0-148.0,812.8999996,run_exp/static/images/Set 6_rs/148a.jpg,86,,,,,,learn,SR,
,show_choice,149,168101,0.0-149.0,null,run_exp/static/images/Set 6_rs/148a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,150,168607,0.0-150.0,null,<p></p>,null,,,,,,,,
,image,151,169498,0.0-151.0,890,run_exp/static/images/Set 6_rs/112a.jpg,78,,,,,,learn,SR,
,show_choice,152,170612,0.0-152.0,null,run_exp/static/images/Set 6_rs/112a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,153,171116,0.0-153.0,null,<p></p>,null,,,,,,,,
,image,154,171889,0.0-154.0,772.2999992,run_exp/static/images/Set 6_rs/012a.jpg,86,,,,,,learn,SR,
,show_choice,155,173121,0.0-155.0,null,run_exp/static/images/Set 6_rs/012a.jpg,null,,,,,,learn,SR,
,html-keyboard-response,156,173623,0.0-156.0,null,<p></p>,null,,,,,,,,
,image,157,174441,0.0-157.0,817.6000004,run_exp/static/images/Set 6_rs/036a.jpg,86,,,,,,learn,SL,
,show_choice,158,175629,0.0-158.0,null,run_exp/static/images/Set 6_rs/036a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,159,176134,0.0-159.0,null,<p></p>,null,,,,,,,,
,image,160,176970,0.0-160.0,834.1000004,run_exp/static/images/Set 6_rs/085a.jpg,86,,,,,,learn,SL,
,show_choice,161,178141,0.0-161.0,null,run_exp/static/images/Set 6_rs/085a.jpg,null,,,,,,learn,SL,
,html-keyboard-response,162,178647,0.0-162.0,null,<p></p>,null,,,,,,,,
,image,163,179321,0.0-163.0,673.9000006,run_exp/static/images/Set 6_rs/023a.jpg,86,,,,,,learn,SR,
