subject_id,age,measure,score
946.0,14.0,ldi,0.27620967741935487
946.0,14.0,rec,0.811491935483871
946.0,14.0,all,0.6947368421052632
859.0,10.0,ldi,0.5
859.0,10.0,rec,0.9354838709677419
859.0,10.0,all,0.8152173913043478
601.0,9.0,ldi,0.6461693548387096
601.0,9.0,rec,0.875
601.0,9.0,all,0.8421052631578947
672.0,13.0,ldi,0.25
672.0,13.0,rec,0.875
672.0,13.0,all,0.7083333333333334
1148.0,20.0,ldi,-0.1053763440860215
1148.0,20.0,rec,0.46666666666666673
1148.0,20.0,all,0.45054945054945056
1182.0,17.0,ldi,0.40625
1182.0,17.0,rec,0.90625
1182.0,17.0,all,0.7708333333333334
1184.0,12.0,ldi,0.11041666666666666
1184.0,12.0,rec,0.46875
1184.0,12.0,all,0.5319148936170213
1183.0,15.0,ldi,0.3125
1183.0,15.0,rec,0.4375
1183.0,15.0,all,0.5833333333333334
1245.0,25.0,ldi,-0.125
1245.0,25.0,rec,0.75
1245.0,25.0,all,0.5416666666666666
816.0,8.0,ldi,0.47291666666666665
816.0,8.0,rec,0.59375
816.0,8.0,all,0.6914893617021277
965.0,16.0,ldi,0.5770833333333333
965.0,16.0,rec,0.7666666666666667
965.0,16.0,all,0.782608695652174
139.0,12.0,ldi,0.5625
139.0,12.0,rec,0.78125
139.0,12.0,all,0.78125
1250.0,18.0,ldi,0.5
1250.0,18.0,rec,0.875
1250.0,18.0,all,0.7916666666666666
1225.0,19.0,ldi,0.53125
1225.0,19.0,rec,0.75
1225.0,19.0,all,0.7604166666666666
1059.0,22.0,ldi,0.21875
1059.0,22.0,rec,0.90625
1059.0,22.0,all,0.7083333333333334
913.0,19.0,ldi,-0.14285714285714288
913.0,19.0,rec,0.895320197044335
913.0,19.0,all,0.5882352941176471
1249.0,16.0,ldi,0.08770161290322581
1249.0,16.0,rec,0.75
1249.0,16.0,all,0.6105263157894737
958.0,8.0,ldi,0.2026209677419355
958.0,8.0,rec,0.59375
958.0,8.0,all,0.6
1302.0,15.0,ldi,0.625
1302.0,15.0,rec,0.90625
1302.0,15.0,all,0.84375
1352.0,15.0,ldi,0.28125
1352.0,15.0,rec,0.875
1352.0,15.0,all,0.71875
1063.0,9.0,ldi,0.42857142857142855
1063.0,9.0,rec,-0.17857142857142858
1063.0,9.0,all,0.40229885057471265
1463.0,8.0,ldi,0.0
1463.0,8.0,rec,0.625
1463.0,8.0,all,0.5416666666666666
1756.0,25.0,ldi,0.28125
1756.0,25.0,rec,0.71875
1756.0,25.0,all,0.6666666666666666
1692.0,19.0,ldi,0.5808189655172413
1692.0,19.0,rec,-0.4267241379310345
1692.0,19.0,all,0.3870967741935484
1403.0,8.0,ldi,0.21875
1403.0,8.0,rec,0.7752016129032258
1403.0,8.0,all,0.6631578947368421
1708.0,20.0,ldi,0.6219758064516129
1708.0,20.0,rec,0.841733870967742
1708.0,20.0,all,0.8210526315789474
1624.0,21.0,ldi,0.40625
1624.0,21.0,rec,0.8125
1624.0,21.0,all,0.7395833333333334
1570.0,18.0,ldi,0.46875
1570.0,18.0,rec,0.90625
1570.0,18.0,all,0.7916666666666666
1488.0,17.0,ldi,-0.15625
1488.0,17.0,rec,0.811491935483871
1488.0,17.0,all,0.5473684210526316
1685.0,18.0,ldi,0.3125
1685.0,18.0,rec,0.84375
1685.0,18.0,all,0.71875
1457.0,14.0,ldi,0.0
1457.0,14.0,rec,0.5221774193548387
1457.0,14.0,all,0.5106382978723404
225.0,19.0,ldi,0.625
225.0,19.0,rec,0.96875
225.0,19.0,all,0.8645833333333334
433.0,23.0,ldi,0.6875
433.0,23.0,rec,0.84375
433.0,23.0,all,0.84375
1601.0,18.0,ldi,0.53125
1601.0,18.0,rec,0.9375
1601.0,18.0,all,0.8229166666666666
1811.0,21.0,ldi,0.0
1811.0,21.0,rec,0.6804435483870968
1811.0,21.0,all,0.5638297872340425
1149.0,17.0,ldi,0.125
1149.0,17.0,rec,0.9375
1149.0,17.0,all,0.6875
202.0,9.0,ldi,-0.047619047619047616
202.0,9.0,rec,0.7261904761904763
202.0,9.0,all,0.5568181818181818
813.0,13.0,ldi,0.5625
813.0,13.0,rec,0.75
813.0,13.0,all,0.7708333333333334
2144.0,13.0,ldi,0.3125
2144.0,13.0,rec,0.875
2144.0,13.0,all,0.7291666666666666
2148.0,19.0,ldi,0.3598790322580645
2148.0,19.0,rec,0.875
2148.0,19.0,all,0.7473684210526316
1980.0,14.0,ldi,0.34375
1980.0,14.0,rec,0.84375
1980.0,14.0,all,0.7291666666666666
2430.0,19.0,ldi,0.71875
2430.0,19.0,rec,0.84375
2430.0,19.0,all,0.8541666666666666
1801.0,23.0,ldi,0.3125
1801.0,23.0,rec,0.78125
1801.0,23.0,all,0.6979166666666666
2712.0,23.0,ldi,0.49798387096774194
2712.0,23.0,rec,0.6875
2712.0,23.0,all,0.7263157894736842
